time_s,capture_area_xy,net_sag,surface_distance,capture_flag,f1_rel_err_3d,f2_rel_err_3d,f3_rel_err_3d,f1_est_err_3d,f2_est_err_3d,f3_est_err_3d,estimate_variance,enemy_x,enemy_y,enemy_z,leader_x,leader_y,leader_z,enemy_center_dist_3d,leader_enemy_dist_3d
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,-10.0,10.8,-3.925492877048315,2.9792603548243224,8.032384426905034,0.0,27.35964372444279
0.1,47.88114508279962,0.25,17.431037540199792,0,0.2643387960706744,0.361828380544498,0.158347300362933,0.07757364508439762,0.054214376697518815,0.04460837299450375,0.0011893122128520345,19.8952859919444,-9.95047375088488,10.828691959892469,-4.008704569514404,2.754148927363845,8.031572353241307,22.28619744829619,27.214556403750105
0.2,47.25619712598165,0.25,17.332926282738313,0,0.4470627555720352,0.5320465497495006,0.3680547638655919,0.29637640640033863,0.2702334736623519,0.26350451366730887,0.0004968487418367567,19.790857927501246,-9.899439832630987,10.857335695356364,-4.0886987654777895,2.5278738232919946,8.030861094185278,22.174187288090362,27.0676986688369
0.30000000000000004,46.56043082613438,0.25,17.240448595529397,0,0.664082982756383,0.7320195085202419,0.5947312953889774,0.6032250648992505,0.5814945122193313,0.5430217263861978,0.00042430188179978513,19.686715710014788,-9.846922944658523,10.88588306301702,-4.165327231361625,2.300436555748884,8.030254836143333,22.064579840363173,26.91900644302312
0.4,45.771585984803906,0.25,17.14266878831597,0,0.876721841657124,0.9409056751489456,0.829115610432331,0.7797588910873202,0.8186531721770466,0.8068890567091629,0.00023773816873589985,19.58285919452182,-9.792948504116083,10.914286081471365,-4.238431581399202,2.071841920745775,8.029757992728637,21.95033124847557,26.768407654390266
0.5,45.1223921815791,0.25,17.029717452024574,0,1.079015527864332,1.133103644033853,1.0408350451294637,0.9326067446549342,0.9382177678561003,0.9249807770244859,0.00011287419156551324,19.479288187776184,-9.737542633579253,10.942497011933344,-4.307842397271387,1.8420986028324915,8.029375221055592,21.829463398753656,26.615821445196833
0.6000000000000001,44.590558415833165,0.25,16.914741284834047,0,1.2698621707799456,1.308916286069322,1.2238123957680223,1.074096064261597,1.0459779494123589,0.9895356572038612,0.00076371283492938,19.376002448281422,-9.680732148407794,10.970468438471594,-4.373378262319903,1.6112198883276068,8.029111439110274,21.705025317372986,26.46115730527875
0.7000000000000001,43.99528281285296,0.25,16.80080764419637,0,1.432486937498151,1.4690063751133058,1.398313651616411,1.11723610704406,1.141567569606458,1.1293589616553328,0.00011565918118248339,19.27300168633159,-9.622544543767528,10.998153347704442,-4.434844702821796,1.3792245064656359,8.02897184417663,21.577623412442087,26.30431412234984
0.8,43.46629236963307,0.25,16.684979338896206,0,1.5667230343432708,1.6051948951575268,1.5436558682924273,1.1341597906331526,1.179452993190818,1.1553427436116541,0.00020735293413709174,19.17028556406021,-9.563007981323224,11.025505207818354,-4.492033028784517,1.1461376229321873,8.028961932255202,21.448060685464437,26.14517914195179
0.9,43.01400346389257,0.25,16.567113600481022,0,1.6795826912490555,1.7111039607390686,1.667196712308925,1.1601258384297406,1.1611362667690912,1.1894469007818724,0.0003919088255253838,19.06785369549739,-9.502151275608888,11.052478046776931,-4.544719067034862,0.9119920152398456,8.0290875183501,21.316038119002144,25.983626829901766
1.0,42.478990011465044,0.25,16.45308856920885,0,1.7794096567657498,1.8436546193575731,1.774045166300248,1.205700666459306,1.4041633580899737,1.2285480802272404,0.0028844458910323527,18.965705646635023,-9.440003880082102,11.079026529589097,-4.592661780203861,0.6768294654210496,8.029354757414154,21.183869078378088,25.819517630595435
1.1,42.08821183268743,0.25,16.334391124628013,0,1.8780669078771015,1.9304003236078735,1.8732337126984875,1.299035984046956,1.3027935682415046,1.2946790346179164,8.88981926959199e-05,18.863840935500157,-9.376595872869121,11.105106034506532,-4.635601766801957,0.44070241278417954,8.029770165623184,21.04456217854879,25.65269661565255
1.2000000000000002,41.72687675832712,0.25,16.215875484237465,0,1.9513882976848098,1.9959800184655625,1.9518786440741962,1.269259964350044,1.2822429742672254,1.2907892518838426,6.868905160372956e-05,18.762259032236436,-9.311957942207645,11.130672728022331,-4.673259640284421,0.20367591822699166,8.03034064148612,20.90438743241389,25.482992019437788
1.3,41.383321222238806,0.25,16.09897762704744,0,2.0156072696956158,2.0502336568375266,2.0176968382414895,1.2994937992925801,1.291921079353853,1.3038240714366764,0.00012055739484160434,18.660959359193647,-9.246121371594317,11.155683638544803,-4.705334289316644,-0.03416999792098735,8.031073486072803,20.764331099285265,25.310213661371282
1.4000000000000001,41.06988318428272,0.25,15.972173018756537,0,2.060642182955502,2.0911024275761543,2.0726539918391005,1.2658186907277582,1.276425981649533,1.3163140913906661,0.0003811041036717874,18.55994129102534,-9.179118024644117,11.180096728622601,-4.731501028046881,-0.2727375700931848,8.031976421334544,20.618970093476513,25.13415126024817
1.5,40.779953683500835,0.25,15.850852982909716,0,2.0992152598445672,2.1375568269573284,2.110664370258731,1.2761529646219407,1.3472588159717998,1.2859219039102092,0.0005915225013348597,18.459204154794513,-9.110980329668996,11.203870965599778,-4.751409655029095,-0.5119079646101471,8.033057605076413,20.472228401888245,24.95457265383574
1.6,40.75333058195572,0.25,15.724227716141773,0,2.1788855476963174,2.166709082473979,2.142219963897671,1.5262057600374077,1.3056319809432344,1.289917571615577,0.004071439652205792,18.358747230087335,-9.041741263983203,11.226966390582023,-4.764682453817829,-0.7515373136020447,8.034325640577949,20.322978854654743,24.771221948947304
1.7000000000000002,40.48462490035206,0.25,15.601041849907878,0,2.217898414062092,2.202227698763469,2.1777695439827736,1.4005240653895856,1.3689304751396631,1.3443467066196464,0.0003471229311926901,18.258569749134896,-8.971434337942915,11.249344185598146,-4.770912188965486,-0.9914519802794107,8.03578957810339,20.17434800555173,24.58381764456577
1.8,40.142719931081274,0.25,15.475685915721044,0,2.2345137595667173,2.227936801433104,2.210028154087559,1.3268907259933522,1.3592602588870324,1.3637777223917382,0.0007279391498310745,18.158670896942954,-8.900093578727873,11.270966738843956,-4.769660180601159,-1.2314429089086578,8.037458904532599,20.021489833187275,24.39205079553064
1.9000000000000001,39.89286624287922,0.25,15.356249190149875,0,2.2478335973317525,2.240111193353987,2.2273880467371083,1.3252356064777442,1.3153596242770564,1.321514056864896,5.170779749263433e-05,18.05904981142967,-8.82775351387289,11.291797707898843,-4.760454582166293,-1.4712588908553537,8.039343516003965,19.86488226766418,24.195583319651664
2.0,39.89540619948471,0.25,15.235594353335909,0,2.304311667075358,2.242536350852231,2.234884128552146,1.5617691385097043,1.27956492394089,1.2899345672434006,0.005759873155652794,17.959705583571296,-8.754449154557207,11.311802080808828,-4.742789043400534,-1.7105985574469118,8.041453666699336,19.707370644050915,23.994046600599997
